Номер п/п,Маршрут,Тип,Наименование маршрута регулярных перевозок,МК,СК,БК,ОБК,Всего,"Минимальный интервал движения, мин","Время рейса (оборотного), мин","Протяженность маршрута (туда и обратно), км"
38,36,Автобус,"Сельмаш – с-з ""Декоративные культуры""", , ,1, ,1,72,72,19.800000000000001
39,38,Автобус,Институт сервиса – Ц. Рынок, ,8, , ,8,13,105,29.399999999999999
40,39,Автобус,Ц. Рынок – Базы отдыха, , ,2, ,2,31,63,19.800000000000001
41,40,Автобус,"ЖК ""Западная резиденция"" – Филиал часового завода ""Витязь""", ,8,10, ,18,12,215,60.700000000000003
42,41,Автобус,"ЖК ""Европейский"" – Ц. Рынок – ЖК ""Европейский""",9, , , ,9,7,60,13.699999999999999
43,42,Автобус,Инфекционная больница – Ц. Рынок, , ,14, ,14,12,173,42.899999999999999
44,43,Автобус,мкр. Суворовский – Главный автовокзал, , ,10, ,10,16,162,40.399999999999999
45,44,Автобус,"ГПЗ-10 – ТЦ ""Меркурий""", ,4,10, ,14,17,237,61.600000000000001
46,45,Автобус,ул. Стартовая – Ц. Рынок – ул. Стартовая, , ,8, ,8,13,104,24.699999999999999
47,47,Автобус,ул. Стартовая – Ц. Рынок – ул. Стартовая, , ,8, ,8,14,111,25.800000000000001
48,48,Автобус,Западный переезд – Ц. Рынок, ,2, , ,2,32,65,18.600000000000001
49,49,Автобус,Стройгородок – ТРК «МЕГАМАГ», , ,10, ,10,12,120,27.5
50,51,Автобус,ул. Мечникова – Ц. Рынок, ,5, , ,5,9,46,10.6
51,54,Автобус,Темерник – пос. Александровка, , ,12, ,12,13,156,38.200000000000003
52,55,Автобус,мкр. Левенцовский – пос. Александровка, ,13, , ,13,16,205,54.799999999999997
53,56,Автобус,"ЖК ""Европейский"" – В. Темерник", ,10, , ,10,20,198,53.299999999999997
54,57,Автобус,пос. Кумженский – Ц. Рынок, , ,2, ,2,60,120,34.100000000000001
55,58 (эл),Автобус,Сельмаш – Ц. Рынок, , ,10, ,10,10,98,19.199999999999999
56,60,Автобус,ул. Мечникова – Ц. Рынок,2,2, , ,4,13,54,10.300000000000001
57,60а,Автобус,Новое поселение – Ц. Рынок,3, , , ,3,19,58,10.1
58,61,Автобус,ул. Мечникова – Ц. Рынок, ,5, , ,5,10,49,10.699999999999999
59,63,Автобус,пос. Александровка – Институт сервиса, , ,9, ,9,15,134,41.100000000000001
60,64,Автобус,пос. Каратаево – Ц. Рынок,3, , , ,3,30,91,28.699999999999999
61,65,Автобус,Институт сервиса – Ц. Рынок, , ,10, ,10,11,107,24.699999999999999
62,65а,Автобус,"Институт сервиса – ТРК ""МЕГАМАГ""", , ,10, ,10,11,114,28.899999999999999
63,66,Автобус,ул. Стартовая – пос. Александровка, , ,10, ,10,17,175,45
64,67,Автобус,мкр. Левенцовский – пр. Сельмаш, , ,20, ,20,9,187,44.399999999999999
65,67а,Автобус,мкр. Левенцовский – пр. Сельмаш, ,3, , ,3,50,151,43.5
66,68,Автобус,"Нахичеванский рынок – ЖК ""Красный Аксай"" – пос. Александровка", ,1, , ,1,51,51,14.1
67,70,Автобус,пос. Кирпичный – Гл. ЖДВ, , ,5, ,5,22,110,28.800000000000001
68,71,Автобус,Ц. Рынок – мкр. Левенцовский, , ,25, ,25,4,103,24
69,72,Автобус,"завод ""Эмпилс"" – ЖК ""Европейский""", ,3, , ,3,30,91,25.300000000000001
70,73,Автобус,"ЖК ""Западная резиденция"" – ул. Портовая",,7, , ,7,13,94,28.399999999999999
71,74,Автобус,"ЖК ""Западная резиденция"" – Сельмаш",6, , , ,6,25,152,42.5
72,74а,Автобус,ЖК Соловьиная Роща – Улица Малиновского ,4, , , ,4,16,64,12
73,75,Автобус,"ЖК ""Акварель"" – Гребной канал",3, , , ,3,23,69,21.600000000000001
74,76,Автобус,ул. Нансена – ул. Береговая,4, , , ,4,13,52,15.4
75,77,Автобус,Покровский храм – Ц. Рынок – Покровский храм, , ,12, ,12,8,99,24.199999999999999
76,78,Автобус,В. Темерник – Ц. Рынок – В. Темерник, , ,15, ,15,9,134,30
77,80,Автобус,пос. Александровка – Гл. ЖДВ, , ,12, ,12,10,115,24.899999999999999
78,81,Автобус,"ЖК ""Красный Аксай"" – мкр. Суворовский", , ,4, ,4,48,192,52.600000000000001
79,82,Автобус,пос. Александровка –  Главный автовокзал, ,14, , ,14,9,122,35.5
80,83,Автобус,В. Темерник – Ц. Рынок – В. Темерник, , ,15, ,15,9,134,30
81,84,Автобус,"ЖК ""Вересаево"" – Главный автовокзал", , ,6, ,6,17,104,26.600000000000001
82,88 (эл),Автобус,ВОС - пл. К. Маркса, , ,7, ,7,20,142,26.399999999999999
83,89,Автобус,Улица Содружества – ЖК Левенцовка парк, ,4, , ,4,19,76,15
84,90,Автобус,В. Темерник – Ц. Рынок – В. Темерник, , ,10, ,10,15,152,29.899999999999999
85,92,Автобус,"ЖК ""Платовский"" – Ц. Рынок", ,5,5, ,10,16,162,40
86,92а,Автобус,"СТ ""Агропром"" – Ц. Рынок – СТ ""Агропром""", ,2, , ,2,67,134,34.5
87,93,Автобус,"ГПЗ-10 – завод ""Алмаз""", ,12, , ,12,16,187,53.399999999999999
88,94,Автобус,ГПЗ-10 – Сельмаш – ГПЗ-10, , ,15, ,15,14,204,52.299999999999997
89,96,Автобус,ГПЗ-10 – Сельмаш – ГПЗ-10, , ,15, ,15,13,191,53.700000000000003
90,98,Автобус,"ст. Первомайская – ЖК ""Красный Аксай""", , ,15, ,15,10,157,37.700000000000003
91,99,Автобус,Стройгородок – Главный автовокзал, , ,6, ,6,17,102,24.600000000000001
92,12,Трамвай,Центральный рынок - Мкр. Левенцовский, , ,11, ,11,10,112.7,32
93,1,Троллейбус,Гл. ЖДВ  – Сельмаш, , ,4, ,4,21,83,18.899999999999999
94,2,Троллейбус,Приг. ЖДВ – ул. 35-я Линия,,,9,,9,8,69,14.1
95,5,Троллейбус,Гл. ЖДВ  – Сельмаш (по ул.Красноармейской),,,4,,4,20,79,17.100000000000001
96,6,Троллейбус,Ц. Рынок – пл. Королева,,,8,,8,12,97,19.600000000000001
97,8,Троллейбус,Ц. Рынок – ГПЗ-10 – Ц. Рынок (по пр. Коммунистическому),,,2,,2,36,73,18.300000000000001
98,9,Троллейбус,Гл. ЖДВ  – пос. Пилотов,,,8,,8,11,90,23.5
99,17,Троллейбус,Ц. Рынок – Стройгородок,,,8,,8,11,88,20.100000000000001
100,22,Троллейбус,Гл. ЖДВ  – пос. Александровка, , ,10, ,10,10,96,23
