Номер п/п,Маршрут,Тип,Наименование маршрута регулярных перевозок,МК,СК,БК,ОБК,Всего,"Минимальный интервал движения, мин","Время рейса (оборотного), мин","Протяженность маршрута (туда и обратно), км","Средняя скорость, км/ч2"
78,92а,Автобус,"СТ ""Агропром"" – Ц. Рынок – СТ ""Агропром""", ,2, , ,2,67,134,34.5,15.45
40,44,Автобус,"ГПЗ-10 – ТЦ ""Меркурий""", ,4,10, ,14,17,237,61.600000000000001,15.53
47,55,Автобус,ул. Зорге – пос. Александровка, ,13, , ,13,15,191,50.600000000000001,15.57
73,84,Автобус,"ЖК ""Вересаево"" – Главный автовокзал", , ,6, ,6,17,104,26.600000000000001,15.65
61,70,Автобус,пос. Кирпичный – Гл. ЖДВ, , ,5, ,5,22,110,28.800000000000001,15.71
57,65а,Автобус,"Институт сервиса – ТРК ""МЕГАМАГ""", , ,10, ,10,11,114,28.899999999999999,15.76
14,15,Автобус,Западный переезд – Ц. Рынок,2,2, , ,4,17,68,18,15.88
58,66,Автобус,ул. Стартовая – пос. Александровка, , ,10, ,10,17,175,45,15.88
10,10,Автобус,мкр. Суворовский – ГПЗ-10, , ,7, ,7,26,181,48.200000000000003,15.89
95,8,Троллейбус,Ц. Рынок – ТПУ Левенцовский (по пр. Коммунистическому),,,9,,9,13,119,31,15.90
49,57,Автобус,пос. Кумженский – пл. Мичурина, , ,2, ,2,47,94,25,15.96
96,9,Троллейбус,Гл. ЖДВ  – пос. Пилотов,,,8,,8,11,90,23.5,16.02
26,29,Автобус,"СТ ""Утро"" – Гл. ЖДВ", ,10, , ,10,19,187,50.899999999999999,16.07
17,18,Автобус,мкр. Суворовский – пл. К. Маркса, , ,17, ,17,11,195,50.600000000000001,16.24
31,34а,Автобус,ГПЗ-10 – Ц. Рынок, , ,11, ,11,6,70,17.899999999999999,16.27
87,10,Трамвай,Госпиталь - Площадь Мичурина, , ,6, ,6,15,90.900000000000006,24.5,16.33
71,81,Автобус,"ЖК ""Красный Аксай"" – мкр. Суворовский", , ,4, ,4,48,192,52.600000000000001,16.44
32,36,Автобус,"Сельмаш – с-з ""Декоративные культуры""", , ,1, ,1,72,72,19.800000000000001,16.50
82,96,Автобус,ГПЗ-10 – Сельмаш – ГПЗ-10, , ,15, ,15,13,191,53.700000000000003,16.52
60,68,Автобус,"Нахичеванский рынок – ЖК ""Красный Аксай"" – пос. Александровка", ,1, , ,1,51,51,14.1,16.59
79,93,Автобус,"ГПЗ-10 – завод ""Алмаз""", ,12, , ,12,16,187,53.399999999999999,16.69
5,4,Автобус, Ц. Рынок - ЖК Екатерининский, , ,15, ,15,4,62,16.800000000000001,16.80
28,31,Автобус,Очистные сооружения – Ц. Рынок,1, , , ,1,51,51,14.300000000000001,16.82
63,72,Автобус,"завод ""Эмпилс"" – ЖК ""Европейский""", ,3, , ,3,30,91,25.300000000000001,16.87
72,82,Автобус,пос. Александровка –  Главный автовокзал, ,14, , ,14,9,122,35.5,16.90
33,38,Автобус,Институт сервиса – Ц. Рынок, ,8, , ,8,13,105,29.399999999999999,16.96
65,74,Автобус,"ЖК ""Западная резиденция"" – Сельмаш",6, , , ,6,25,152,42.5,17.00
24,25,Автобус,ГПЗ-10 – В. Темерник, ,8, , ,8,22,177,50.700000000000003,17.28
36,40,Автобус,ул. Еременко – Завод Алмаз, ,8,10, ,18,9,170,47,17.41
43,48,Автобус,Западный переезд – Ц. Рынок, ,2, , ,2,32,65,18.600000000000001,17.44
19,19,Автобус,ул. Стартовая – пл. К. Маркса – ул. Стартовая, ,7, , ,7,15,107,30.800000000000001,17.60
86,1,Трамвай,Гл. ЖДВ – Старый аэропорт, , , ,16,16,6,98.5,28.199999999999999,17.62
68,76,Автобус,ул. Нансена – ул. Береговая,4, , , ,4,13,52,15.4,17.77
55,64,Автобус,пос. Каратаево – пл. Мичурина,3, , , ,3,22,66,20,18.18
13,13,Автобус,"СТ ""Утро"" – Ц. Рынок", ,10, , ,10,15,147,45.799999999999997,18.32
88,11,Трамвай,Госпиталь - Мкр. Левенцовский, , , ,17,17,7,112.90000000000001,36.799999999999997,18.55
64,73,Автобус,"ЖК ""Западная резиденция"" – ул. Портовая", ,7, , ,7,13,94,28.399999999999999,18.73
67,75,Автобус,"ЖК ""Акварель"" – Гребной канал",3, , , ,3,23,69,21.600000000000001,18.78
54,63,Автобус,пос. Александровка – Институт сервиса, , ,10, ,10,13,134,41.100000000000001,18.97
29,32,Автобус,ГПЗ-10 – пос. Каратаево, ,6, , ,6,9,56,17.100000000000001,19.00
34,39,Автобус,Ц. Рынок – Базы отдыха, , ,2, ,2,31,63,19.800000000000001,19.16
91,15,Трамвай,Верхний Темерник – ул. Станиславского , , , ,11,11,7,72.5,27.100000000000001,21.12
89,12,Трамвай,Сельмаш - Мкр. Левенцовский, , , ,18 (9 сдвоенные БК и 9 ОБК),18,6,112,39.600000000000001,22.00
90,14,Трамвай,ЖК Суворовский – ул. Станиславского , , , ,13,13,6,73.900000000000006,29.5,22.69
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
