Номер п/п,Маршрут,Тип,Наименование маршрута регулярных перевозок,МК,СК,БК,ОБК,Всего,"Минимальный интервал движения, мин","Время рейса (оборотного), мин","Протяженность маршрута (туда и обратно), км"
1,1,Автобус,мкр. Суворовский – Ц. Рынок, , ,10, ,10,17,166,39
2,1а,Автобус,мкр. Суворовский - Главный автовокзал, , ,3, ,3,48,143,41.399999999999999
3,2,Автобус,Площадь Чкалова – Центральный рынок, ,3, , ,3,38,115,23
4,3,Автобус,Гл. ЖДВ – Лесничество, , ,15, ,15,8,121,25.600000000000001
5,3а,Автобус,Гл. ЖДВ – Обл. туб. Больница, , ,12, ,12,13,153,38.5
6,4,Автобус, Ц. Рынок - ЖК Екатерининский, , ,15, ,15,4,62,16.800000000000001
7,6,Автобус,Обл. Больница  – Ц. Рынок, , ,6, ,6,20,120,27.199999999999999
8,6а,Автобус,Обл. Больница  – Ц. Рынок, , ,6, ,6,21,128,27.199999999999999
9,7,Автобус,Гл. ЖДВ – ул. Можайская, , ,10, ,10,15,145,29
10,8,Автобус,"ГПЗ-10 – ТРК ""МЕГАМАГ""", , ,4, ,4,26,102,26.399999999999999
11,10,Автобус,мкр. Суворовский – ГПЗ-10, , ,7, ,7,26,181,48.200000000000003
12,11,Автобус,1-й пос. Орджоникидзе – Пригородный автовокзал, ,1, , ,1,35,35,7.2999999999999998
13,12,Автобус,"ЖК ""Акварель"" – Ц. Рынок", ,3, , ,3,16,49,11
14,13,Автобус,"СТ ""Утро"" – Ц. Рынок", ,10, , ,10,15,147,45.799999999999997
15,15,Автобус,Западный переезд – Ц. Рынок,2,2, , ,4,17,68,18
16,16,Автобус,ВОС – Ц. Рынок, , ,9, ,9,7,64,15.5
17,16а,Автобус,"ЖК ""Западная резиденция"" – Ц. Рынок", , ,6, ,6,26,158,39.200000000000003
18,17а (эл),Автобус,мкр. Левенцовский – Ц. Рынок, , ,9, ,9,16,143,35.100000000000001
19,18,Автобус,мкр. Суворовский – пл. К. Маркса, , ,17, ,17,11,195,50.600000000000001
20,18а,Автобус,мкр. Суворовский – Облстной автовокзал Центральный, , ,10, ,10,24,241,53.600000000000001
21,19,Автобус,ул. Стартовая – пл. К. Маркса – ул. Стартовая, ,7, , ,7,15,107,30.800000000000001
22,20,Автобус,пос. Первомайский – пл. Мичурина,2, , , ,2,36,73,14
23,21,Автобус,ул. Стартовая – Главный автовокзал, ,10, , ,10,11,108,26.699999999999999
24,22,Автобус,В. Темерник – Ц. Рынок – В. Темерник, , ,10, ,10,13,126,30.100000000000001
25,24,Автобус,"ул. Горсоветская – ТРК ""МЕГАМАГ""", ,8, , ,8,14,109,27.100000000000001
26,25,Автобус,ГПЗ-10 – В. Темерник, ,8, , ,8,22,177,50.700000000000003
27,27,Автобус,мкр. Суворовский – Ц. Рынок, , ,10, ,10,14,144,35.200000000000003
28,28,Автобус,"Сельмаш – с/т ""Виноградарь""", , ,1, ,1,97,97,22.399999999999999
29,29,Автобус,"СТ ""Утро"" – Гл. ЖДВ", ,10, , ,10,19,187,50.899999999999999
30,30,Автобус,"Аквапарк ""Осьминожек"" – Сельмаш", ,8, , ,8,10,77,19.5
31,31,Автобус,Очистные сооружения – Ц. Рынок,1, , , ,1,51,51,14.300000000000001
32,32,Автобус,ГПЗ-10 – пос. Каратаево, ,6, , ,6,9,56,17.100000000000001
33,33,Автобус,В. Темерник – Главный автовокзал, , ,14, ,14,9,132,31.300000000000001
34,34а,Автобус,ГПЗ-10 – Ц. Рынок, , ,11, ,11,6,70,17.899999999999999
35,35,Автобус,Инфекционная больница – Ц. Рынок, , ,14, ,14,12,168,43.799999999999997
36,36,Автобус,"Сельмаш – с-з ""Декоративные культуры""", , ,1, ,1,72,72,19.800000000000001
37,38,Автобус,Институт сервиса – Ц. Рынок, ,8, , ,8,13,105,29.399999999999999
38,39,Автобус,Ц. Рынок – Базы отдыха, , ,2, ,2,31,63,19.800000000000001
