Номер п/п,Маршрут,Тип,Наименование маршрута регулярных перевозок,МК,СК,БК,ОБК,Всего,"Минимальный интервал движения, мин","Время рейса (оборотного), мин","Протяженность маршрута (туда и обратно), км"
39,39а (эл),Автобус,Главный автовокзал - Центральный рынок – ЖК Левобережье, , ,4, ,4,15,61,14.6
40,40,Автобус,ул. Еременко – Завод Алмаз, ,8,10, ,18,9,170,47
41,41,Автобус,"ЖК ""Европейский"" – Ц. Рынок – ЖК ""Европейский""",9, , , ,9,7,60,13.699999999999999
42,42,Автобус,Инфекционная больница – Ц. Рынок, , ,14, ,14,12,173,42.899999999999999
43,43,Автобус,мкр. Суворовский – Главный автовокзал, , ,10, ,10,16,162,40.399999999999999
44,44,Автобус,"ГПЗ-10 – ТЦ ""Меркурий""", ,4,10, ,14,17,237,61.600000000000001
45,45,Автобус,ул. Стартовая – Ц. Рынок – ул. Стартовая, , ,8, ,8,13,104,24.699999999999999
46,47,Автобус,ул. Стартовая – Ц. Рынок – ул. Стартовая, , ,8, ,8,14,111,25.800000000000001
47,48,Автобус,Западный переезд – Ц. Рынок, ,2, , ,2,32,65,18.600000000000001
48,49,Автобус,Стройгородок – ТРК «МЕГАМАГ», , ,10, ,10,12,120,27.5
49,51,Автобус,ул. Мечникова – Ц. Рынок, ,5, , ,5,9,46,10.6
50,54,Автобус,Темерник – пос. Александровка, , ,12, ,12,13,156,38.200000000000003
51,55,Автобус,ул. Зорге – пос. Александровка, ,13, , ,13,15,191,50.600000000000001
52,56,Автобус,"ЖК ""Европейский"" – В. Темерник", ,10, , ,10,20,198,53.299999999999997
53,57,Автобус,пос. Кумженский – пл. Мичурина, , ,2, ,2,47,94,25
54,58 (эл),Автобус,Сельмаш – Ц. Рынок, , ,10, ,10,10,98,19.199999999999999
55,60,Автобус,ул. Мечникова – Ц. Рынок,2,2, , ,4,13,54,10.300000000000001
56,60а,Автобус,Новое поселение – Ц. Рынок,3, , , ,3,19,58,10.1
57,61,Автобус,ул. Мечникова – Ц. Рынок, ,5, , ,5,10,49,10.699999999999999
58,63,Автобус,пос. Александровка – Институт сервиса, , ,10, ,10,13,134,41.100000000000001
59,64,Автобус,пос. Каратаево – пл. Мичурина,3, , , ,3,22,66,20
60,65,Автобус,Институт сервиса – Ц. Рынок, , ,10, ,10,11,107,24.699999999999999
61,65а,Автобус,"Институт сервиса – ТРК ""МЕГАМАГ""", , ,10, ,10,11,114,28.899999999999999
62,66,Автобус,ул. Стартовая – пос. Александровка, , ,10, ,10,17,175,45
63,67,Автобус,мкр. Левенцовский – пр. Сельмаш, , ,20, ,20,9,187,44.399999999999999
64,68,Автобус,"Нахичеванский рынок – ЖК ""Красный Аксай"" – пос. Александровка", ,1, , ,1,51,51,14.1
65,70,Автобус,пос. Кирпичный – Гл. ЖДВ, , ,5, ,5,22,110,28.800000000000001
66,71,Автобус,Ц. Рынок – мкр. Левенцовский, , ,15, ,15,7,103,24
67,72,Автобус,"завод ""Эмпилс"" – ЖК ""Европейский""", ,3, , ,3,30,91,25.300000000000001
68,73,Автобус,"ЖК ""Западная резиденция"" – ул. Портовая", ,7, , ,7,13,94,28.399999999999999
69,74,Автобус,"ЖК ""Западная резиденция"" – Сельмаш",6, , , ,6,25,152,42.5
70,74а,Автобус,ЖК Соловьиная Роща – Улица Малиновского ,4, , , ,4,16,64,12
71,75,Автобус,"ЖК ""Акварель"" – Гребной канал",3, , , ,3,23,69,21.600000000000001
72,76,Автобус,ул. Нансена – ул. Береговая,4, , , ,4,13,52,15.4
73,77,Автобус,Покровский храм – Ц. Рынок – Покровский храм, , ,12, ,12,8,99,24.199999999999999
74,78,Автобус,В. Темерник – Ц. Рынок – В. Темерник, , ,15, ,15,9,134,30
75,80,Автобус,пос. Александровка – Гл. ЖДВ, , ,7, ,7,16,115,24.899999999999999
76,81,Автобус,"ЖК ""Красный Аксай"" – мкр. Суворовский", , ,4, ,4,48,192,52.600000000000001
77,82,Автобус,пос. Александровка –  Главный автовокзал, ,14, , ,14,9,122,35.5
78,83,Автобус,В. Темерник – Ц. Рынок – В. Темерник, , ,15, ,15,9,134,30
79,84,Автобус,"ЖК ""Вересаево"" – Главный автовокзал", , ,6, ,6,17,104,26.600000000000001
80,88 (эл),Автобус,ВОС - Областной автовокзал Центральный, , ,12, ,12,17,198,38.600000000000001
81,89,Автобус,Улица Содружества – ЖК Левенцовка парк, ,4, , ,4,19,76,15
82,90,Автобус,В. Темерник – Ц. Рынок – В. Темерник, , ,10, ,10,15,152,29.899999999999999
83,92,Автобус,"ЖК ""Платовский"" – Ц. Рынок", , ,10, ,10,16,162,40
84,92а,Автобус,"СТ ""Агропром"" – Ц. Рынок – СТ ""Агропром""", ,2, , ,2,67,134,34.5
85,93,Автобус,"ГПЗ-10 – завод ""Алмаз""", ,12, , ,12,16,187,53.399999999999999
86,94,Автобус,ГПЗ-10 – Сельмаш – ГПЗ-10, , ,15, ,15,14,204,52.299999999999997
87,96,Автобус,ГПЗ-10 – Сельмаш – ГПЗ-10, , ,15, ,15,13,191,53.700000000000003
88,97,Автобус,Восточное шоссе - Центральный рынок, ,3, , ,3,16,48,12
89,98,Автобус,"ст. Первомайская – ЖК ""Красный Аксай""", , ,15, ,15,10,157,37.700000000000003
90,99,Автобус,Стройгородок – Главный автовокзал, , ,6, ,6,17,102,24.600000000000001
91,10,Трамвай,Центральный рынок - Площадь Мичурина, , ,3, ,3,22,52.100000000000001,13.4
92,12,Трамвай,Сельмаш - Мкр. Левенцовский, , ,8,33,41,5,130.59999999999999,40.799999999999997
93,2,Троллейбус,Приг. ЖДВ – ул. 35-я Линия,,,9,,9,8,69,7.0499999999999998
94,5,Троллейбус,Гл. ЖДВ  – Сельмаш (по ул.Красноармейской),,,7,,7,11,79,8.5500000000000007
95,6,Троллейбус,Ц. Рынок – ул. Лелюшенко,,,10,,10,13,132,13.6
96,8,Троллейбус,Ц. Рынок – ГПЗ-10 – Ц. Рынок (по пр. Коммунистическому),,,9,,9,9,82,10.5
97,9,Троллейбус,Гл. ЖДВ  – пос. Пилотов,,,8,,8,11,90,11.75
98,17,Троллейбус,Ц. Рынок – Стройгородок,,,8,,8,11,88,10.050000000000001
99,22,Троллейбус,Гл. ЖДВ  – пос. Александровка, , ,15, ,15,7,104,12.5
